Date,Text
2025-02-22 18:50:45+00:00,"RT @keshuu_17: born 

gale me kharash
cough/cold
nose flow
sar dard
situation like dyying

gale me kharash
cough/cold
nose flow
sar dard
si…"
2025-02-22 18:50:36+00:00,"RT @cooltechtipz: Try this remedy if you have breathing issues, cough and bad throat 

🎥NutritionTipzzz
https://t.co/C7xdZIpBcq"
2025-02-22 18:50:26+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:50:14+00:00,@catturd2 Poor Jessica. She needs to cough before she speaks because it is always unpleasant to listen to. 🥴
2025-02-22 18:50:14+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:50:00+00:00,@nanananana1966 Mi doin much better. Cough is completely gone but i still hab some gunk in mi throat sometime. Just get tired real easy though so mi pacing myself
2025-02-22 18:49:54+00:00,@lippyent Root beer flavored candies or cough drops
2025-02-22 18:49:47+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:49:23+00:00,"RT @LiquoriceHQ: 🚨 New Intent Dashboard Alert!

We’ve built a Dune dashboard to track all core intent systems:

📊 Volumes

⚡ Top solvers

🔗…"
2025-02-22 18:49:21+00:00,Big trouble before the big match. Babar Azam is suffering from fever and consequently missed the practice session before the India clash. #INDvPAK #ChampionsTrophy2025
2025-02-22 18:49:07+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:49:06+00:00,RT @bugmode: Real shit if u cough like a mf without covering ur mouth and spit on the train u deadass deserve to be boiled alive
2025-02-22 18:49:06+00:00,"RT @evervalebot: “Victor,” said Eli. The word was a cough, as if the letters lodged in his chest."
2025-02-22 18:48:55+00:00,that pen cough sum serious
2025-02-22 18:48:51+00:00,"RT @QuackedUp76: @elonmusk We SHALL

“MARS”HALL

Marshall Islands 🇲🇭 

ATOLL

Rockefeller Center 

Congestion 

😷 🤧 cough cough https://t.c…"
2025-02-22 18:48:46+00:00,It does have striking resemblance to cough cough another game but I wont make any comparisons until I've gotten used to the combat
2025-02-22 18:48:31+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:48:28+00:00,"@BrownBlazerPDX Sorry! The woman had a chronic cough for 16 months, saw multiple specialists, had several tests including CTs &amp; an echo. A cardiologist (mother of a student) pushed an appointment up where a stress test showed a 90% blockage of the LAD. She was very lucky"
2025-02-22 18:48:02+00:00,"RT @uwu_rojito: //Volume warning

Rojito live reaction:
(My throat hurts, I think I'm about to cough up blood-) https://t.co/Ekp4T4kMVM"
2025-02-22 18:48:01+00:00,"I've heard this a lot, but I haven't seen it in those around me. I had a cold(,no fever/aches). I took horse paste and oregano oil pills for a week and felt a lot better.  It took 3 weeks for the cough to go away. https://t.co/3ZoXhOCEXi"
2025-02-22 18:48:00+00:00,"@JamesAGagliano @ZitoSalena Because @sbg1 is a Resistance activist, not a reporter (cough, cough) like her husband @peterbakernyt."
2025-02-22 18:47:57+00:00,"RT @Relaks1404: I went to see doctor just for cough 🤒
But he insisted to check my prostate 🙄
#sissy #sissycaption #sissyslut #femboy #cross…"
2025-02-22 18:47:52+00:00,"RT @LiquoriceHQ: 🚨 New Intent Dashboard Alert!

We’ve built a Dune dashboard to track all core intent systems:

📊 Volumes

⚡ Top solvers

🔗…"
2025-02-22 18:47:36+00:00,"RT @ChinasaNworu: Just in!

Biafran and all the lovers of freedom , I apologize for not  coming up on the scheduled  radio Biafra  program…"
2025-02-22 18:47:33+00:00,@untitledmutt or use them for when you lose the lid to your cough syrup when you're sick😭 ( I've done this before )
2025-02-22 18:47:33+00:00,"RT @proizee1: Happy 💗💘💖 day 
Yea, I'm a bit late *cough* 

#recaday #MrReca #SundayHSR https://t.co/xRIst3I33T"
2025-02-22 18:47:23+00:00,"RT @ca_toonz: Sorry Eggman this wasn't me cough Agent Stone possessed me COUGH 

Oh and also...#RecastEggman https://t.co/FnboDKVH0G"
2025-02-22 18:47:15+00:00,i got a nasty ass cough i’m blew😒
2025-02-22 18:46:46+00:00,"RT @raonbeam: The real reason why holy trinity MCs “cough up” blood 😆

#sclass x #orv x #lcf https://t.co/TfLDPFNOmL"
2025-02-22 18:46:44+00:00,"RT @NutritionTipzzz: Sore throat, cough, heavy breathing try this remedy https://t.co/hv9lDeJDqQ"
2025-02-22 18:46:42+00:00,"RT @BarbGEO47: @visegrad24 Oh, Europe, finally can cough up some money instead of hitting up the US.  It's their war now."
2025-02-22 18:46:40+00:00,"RT @cooltechtipz: Try this remedy if you have breathing issues, cough and bad throat 

🎥NutritionTipzzz
https://t.co/C7xdZIpBcq"
